firstname,lastname,username,password,ou
Alina,Lyn,ALyn,Roadfox2209,"CN=Users,DC=faculty,DC=ru"
Andre,som,asom,Roadfox2208,"CN=Users,DC=faculty,DC=ru"
Vic,lin,vlin,Roadfox2207,"CN=Users,DC=faculty,DC=ru"
dean,Lyn,DLyn,Roadfox2206,"CN=Users,DC=faculty,DC=ru"
Sdean,som,Dsom,Roadfox2205,"CN=Users,DC=faculty,DC=ru"
DeanVic,lin,Dvlin,Roadfox2204,"CN=Users,DC=faculty,DC=ru"
StudentAlina,Lyn,studALyn,Roadfox2203,"CN=Users,DC=faculty,DC=ru"
AndreStudent,som,stud,Roadfox2202,"CN=Users,DC=faculty,DC=ru"
StudVic,link,vstudlin,Roadfox2201,"CN=Users,DC=faculty,DC=ru"

